"Prefecture","Date","NewlyConfirmedCases","Guests_Prefecture","Guests_OutsidePrefecture","Guests_Remaining","Month"
"Ibaraki",2020-12-01,82.769185586791,102450,277440,34620,"December"
"Ishikawa",2020-07-01,26.9309490466444,118730,259740,13900,"July"
"Ishikawa",2020-08-01,13.2447290393333,112710,319370,13150,"August"
"Ishikawa",2020-09-01,3.00213858224888,77060,374850,15470,"September"
"Ishikawa",2020-10-01,3.79682232460888,89840,430640,21030,"October"
"Ishikawa",2020-11-01,19.2490062038311,109030,597000,11400,"November"
"Ishikawa",2020-12-01,34.5245936958622,107620,403130,20090,"December"
"Iwate",2020-07-01,1.32173074031791,151270,201250,3260,"July"
"Iwate",2020-08-01,0.330432685079477,141390,226290,2200,"August"
"Iwate",2020-09-01,0.330432685079477,191770,254790,430,"September"
"Iwate",2020-10-01,13.7955646020682,174630,345010,650,"October"
"Iwate",2020-11-01,15.778160712545,160100,306780,680,"November"
"Iwate",2020-12-01,9.1695070109555,140720,219530,450,"December"
"Kagawa",2020-07-01,3.3675561224275,52760,154490,6360,"July"
"Kagawa",2020-08-01,1.68377806121375,51970,182210,9520,"August"
"Kagawa",2020-09-01,0.841889030606876,38370,181610,13160,"September"
"Kagawa",2020-10-01,4.84086192598954,45260,212480,19290,"October"
"Kagawa",2020-11-01,16.4168360968341,56250,245800,11770,"November"
"Kagawa",2020-12-01,35.6750476719664,47790,169130,8840,"December"
"Kagoshima",2020-07-01,6.92583563355026,107190,207080,20630,"July"
"Kagoshima",2020-08-01,3.46291781677513,149590,240840,17710,"August"
"Kagoshima",2020-09-01,3.33699353252876,168070,243780,17100,"September"
"Kagoshima",2020-10-01,10.0109805975863,176750,347420,51160,"October"
"Kagoshima",2020-11-01,24.3663490016723,191330,445000,7440,"November"
"Kagoshima",2020-12-01,38.1550581266496,177230,350810,6770,"December"
"Kanagawa",2020-07-01,26.7934362468317,423350,525880,71400,"July"
"Kanagawa",2020-08-01,20.9584212419662,626120,689720,102570,"August"
"Kanagawa",2020-09-01,19.6268686527297,581570,695750,67370,"September"
"Kanagawa",2020-10-01,41.6245504521487,615850,847580,103620,"October"
"Kanagawa",2020-11-01,94.2695930656205,632850,870610,99810,"November"
"Kanagawa",2020-12-01,211.110626363421,585620,795580,91000,"December"
"Kochi",2020-07-01,6.50733810827343,36620,107410,20010,"July"
"Kochi",2020-08-01,1.87989767572344,58520,156450,24500,"August"
"Kochi",2020-09-01,0.867645081103124,36850,134580,22010,"September"
"Kochi",2020-10-01,1.1568601081375,39500,158040,13220,"October"
"Kochi",2020-11-01,73.8944394072827,43480,172890,17550,"November"
"Kochi",2020-12-01,26.6077824871625,34110,115090,11290,"December"
"Kumamoto",2020-07-01,18.9265265336671,133880,217450,16430,"July"
"Kumamoto",2020-08-01,3.16400899498994,152950,240990,14730,"August"
"Kumamoto",2020-09-01,12.7135634162323,133810,258520,21950,"September"
"Kumamoto",2020-10-01,13.001200597595,134790,312360,39190,"October"
"Kumamoto",2020-11-01,49.0133757042077,155220,418590,9710,"November"
"Kumamoto",2020-12-01,84.2201667030048,145850,330700,2710,"December"
"Kyoto",2020-07-01,25.8331080370833,148000,575900,42690,"July"
"Kyoto",2020-08-01,12.0244196569006,205290,741450,25710,"August"
"Kyoto",2020-09-01,11.0547083942474,212400,891190,20930,"September"
"Kyoto",2020-10-01,24.2427815663319,212460,1081350,67560,"October"
"Kyoto",2020-11-01,82.6969764790715,239570,1662970,122830,"November"
"Kyoto",2020-12-01,141.345113644342,219720,1096630,58810,"December"
"Mie",2020-07-01,15.7604501952827,86760,274280,13140,"July"
"Mie",2020-08-01,7.28708987523824,104580,373130,35320,"August"
"Mie",2020-09-01,3.1633878528166,97150,336460,26640,"September"
"Mie",2020-10-01,16.5512971584869,118230,417100,42060,"October"
"Mie",2020-11-01,24.4597667905284,117130,491250,44630,"November"
"Mie",2020-12-01,50.6706947138659,111690,390420,27730,"December"
"Miyagi",2020-07-01,2.04170641478091,180380,300550,11110,"July"
"Miyagi",2020-08-01,8.64467184130641,243510,343040,7480,"August"
"Miyagi",2020-09-01,13.8575392833002,207180,359420,11050,"September"
"Miyagi",2020-10-01,21.0686725780583,247740,468560,13880,"October"
"Miyagi",2020-11-01,42.6151913382995,247860,486070,12210,"November"
"Miyagi",2020-12-01,52.9106045362373,235490,364290,11070,"December"
"Miyazaki",2020-07-01,20.2884133525808,66230,155060,7390,"July"
"Miyazaki",2020-08-01,0.654464946857446,60680,167960,8620,"August"
"Miyazaki",2020-09-01,0.186989984816413,77640,147840,11810,"September"
"Miyazaki",2020-10-01,12.6218239751079,99940,203870,36030,"October"
"Miyazaki",2020-11-01,23.8412230640927,108850,264180,11750,"November"
"Miyazaki",2020-12-01,99.3851769299236,89550,203710,20360,"December"
"Nagano",2020-07-01,7.37300727388671,198760,529210,23750,"July"
"Nagano",2020-08-01,2.5878767252715,217750,955410,59630,"August"
"Nagano",2020-09-01,1.56249160771109,203650,846550,27950,"September"
"Nagano",2020-10-01,18.4081042533463,253250,973750,41470,"October"
"Nagano",2020-11-01,22.7049561745518,249700,841090,35140,"November"
"Nagano",2020-12-01,53.9547883287736,177460,661410,26530,"December"
"Nagasaki",2020-07-01,11.963572825773,168700,200180,24760,"July"
"Nagasaki",2020-08-01,0.381005504005511,104810,212940,20330,"August"
"Nagasaki",2020-09-01,0.68580990720992,136550,230400,27270,"September"
"Nagasaki",2020-10-01,1.98122862082866,142930,351800,25550,"October"
"Nagasaki",2020-11-01,29.2612227076232,141860,457290,20020,"November"
"Nagasaki",2020-12-01,66.37115879776,118110,363580,23040,"December"
"Nara",2020-07-01,21.4424907113999,21510,84610,700,"July"
"Nara",2020-08-01,3.92608984856618,38760,150880,1340,"August"
"Nara",2020-09-01,6.04013822856336,35250,124790,1090,"September"
"Nara",2020-10-01,36.3918328270942,38860,128760,2600,"October"
"Nara",2020-11-01,63.5724548556294,31710,167640,2530,"November"
"Nara",2020-12-01,75.9547382241843,31630,102250,2270,"December"
"Niigata",2020-07-01,1.45370494877507,215050,290410,21490,"July"
"Niigata",2020-08-01,1.27199183017819,224260,419450,24050,"August"
"Niigata",2020-09-01,0.635995915089094,219940,379180,20170,"September"
"Niigata",2020-10-01,6.72338538808471,271000,465350,13320,"October"
"Niigata",2020-11-01,9.49451044668719,251540,434450,9010,"November"
"Niigata",2020-12-01,16.853891749861,220360,313220,29190,"December"
"Oita",2020-07-01,7.02939532963415,83110,218000,24880,"July"
"Oita",2020-08-01,1.15673594031954,86740,272760,30660,"August"
"Oita",2020-09-01,0.088979687716888,89360,300560,45910,"September"
"Oita",2020-10-01,12.1012375294968,94220,394220,48700,"October"
"Oita",2020-11-01,35.0579969604539,100790,479550,30540,"November"
"Oita",2020-12-01,41.7314735392205,77950,363080,19320,"December"
"Okayama",2020-07-01,3.4949630169368,68850,219740,18750,"July"
"Okayama",2020-08-01,0.635447821261237,82960,218360,19930,"August"
"Okayama",2020-09-01,6.8310640785583,71470,247170,17600,"September"
"Okayama",2020-10-01,16.5745973378973,86430,293870,22690,"October"
"Okayama",2020-11-01,40.4568446202987,84960,310270,28910,"November"
"Okayama",2020-12-01,51.6301354774755,80950,227530,27140,"December"
"Okinawa",2020-07-01,117.957314580096,268210,858330,59540,"July"
"Okinawa",2020-08-01,24.3955624608172,209230,716190,46430,"August"
"Okinawa",2020-09-01,57.7861367786955,250240,721220,44520,"September"
"Okinawa",2020-10-01,67.1900128110775,289590,1060830,38440,"October"
"Okinawa",2020-11-01,71.0060784474064,311550,1120610,47370,"November"
"Okinawa",2020-12-01,148.622127729168,320880,915320,39110,"December"
"Osaka",2020-07-01,50.9409421132344,326430,677060,55990,"July"
"Osaka",2020-08-01,23.3658475041824,358040,631140,58860,"August"
"Osaka",2020-09-01,24.4973655431258,403930,842740,78010,"September"
"Osaka",2020-10-01,85.0788413481585,551610,1179450,78400,"October"
"Osaka",2020-11-01,110.051444467641,544430,1404520,73630,"November"
"Osaka",2020-12-01,155.278220484211,432590,872880,67690,"December"
"Saga",2020-07-01,19.1017965547753,27660,92200,2830,"July"
"Saga",2020-08-01,0.985899177020662,32190,102650,3550,"August"
"Saga",2020-09-01,1.10913657414824,34550,131150,3490,"September"
"Saga",2020-10-01,6.77805684201705,35100,147920,23740,"October"
"Saga",2020-11-01,19.5947461432857,33670,185640,10270,"November"
"Saga",2020-12-01,59.5236628126225,34790,152330,7080,"December"
"Saitama",2020-07-01,21.9748351376797,74420,146310,14220,"July"
"Saitama",2020-08-01,9.88459127010871,107030,158200,33120,"August"
"Saitama",2020-09-01,16.379012807081,84330,173090,34150,"September"
"Saitama",2020-10-01,34.9909084906052,99620,199520,41070,"October"
"Saitama",2020-11-01,79.9072536697907,107660,214770,38490,"November"
"Saitama",2020-12-01,148.432250725517,112120,185760,45820,"December"
"Shiga",2020-07-01,19.9489250924937,39470,142810,12250,"July"
"Shiga",2020-08-01,3.67852519436054,58030,230620,16780,"August"
"Shiga",2020-09-01,3.60778432523822,45390,201620,14100,"September"
"Shiga",2020-10-01,16.2703998981331,52610,228830,8330,"October"
"Shiga",2020-11-01,27.801161565071,54380,268300,6700,"November"
"Shiga",2020-12-01,67.1330847970798,56120,187160,2420,"December"
"Shimane",2020-07-01,16.0923582158939,44860,144730,2680,"July"
"Shimane",2020-08-01,0.447009950441497,54190,162720,4570,"August"
"Shimane",2020-09-01,0.149003316813832,55170,161760,3420,"September"
"Shimane",2020-10-01,0.894019900882994,65750,226000,10,"October"
"Shimane",2020-11-01,9.08920232564377,70140,251280,0,"November"
"Shimane",2020-12-01,9.08920232564377,54630,172500,-10,"December"
"Shizuoka",2020-07-01,5.89012116584765,278690,747240,23980,"July"
"Shizuoka",2020-08-01,1.73400763293646,359780,1146990,53400,"August"
"Shizuoka",2020-09-01,3.16525202837607,310820,864610,47670,"September"
"Shizuoka",2020-10-01,27.8542178497094,379400,1044220,30770,"October"
"Shizuoka",2020-11-01,27.881741780391,385250,1212190,39220,"November"
"Shizuoka",2020-12-01,52.5156597403613,361960,1012340,54000,"December"
"Tochigi",2020-07-01,5.58674823319087,107210,340180,24640,"July"
"Tochigi",2020-08-01,6.56960208903001,147560,532260,33580,"August"
"Tochigi",2020-09-01,3.05201986813205,121280,488720,34440,"September"
"Tochigi",2020-10-01,7.70764339579111,139480,629040,43120,"October"
"Tochigi",2020-11-01,43.4524862581512,130680,684270,41870,"November"
"Tochigi",2020-12-01,118.614941654691,129230,466110,29160,"December"
"Tokushima",2020-07-01,14.5922710993817,32960,74570,12750,"July"
"Tokushima",2020-08-01,2.50153218846543,31390,98890,24030,"August"
"Tokushima",2020-09-01,2.22358416752483,20030,93570,13890,"September"
"Tokushima",2020-10-01,2.36255817799513,20780,110970,14730,"October"
"Tokushima",2020-11-01,2.36255817799513,21860,128250,21220,"November"
"Tokushima",2020-12-01,25.9881399579465,33130,109350,19080,"December"
"Tokyo",2020-07-01,57.8390861808791,1003080,992070,102200,"July"
"Tokyo",2020-08-01,35.0095539492386,1162120,1015590,105500,"August"
"Tokyo",2020-09-01,38.0848136698712,1118060,1221220,115410,"September"
"Tokyo",2020-10-01,70.1970743174952,1383360,1851160,216680,"October"
"Tokyo",2020-11-01,137.881262798455,1593790,2090330,204740,"November"
"Tokyo",2020-12-01,287.358817460129,1533250,1814050,257180,"December"
"Tottori",2020-07-01,1.26489184271251,40200,132590,2270,"July"
"Tottori",2020-08-01,2.3490848507518,46520,164110,3130,"August"
"Tottori",2020-09-01,0.542096504019645,36250,148070,2300,"September"
"Tottori",2020-10-01,3.6139766934643,43990,186910,5360,"October"
"Tottori",2020-11-01,11.0226289150661,53880,215680,2670,"November"
"Tottori",2020-12-01,14.4559067738572,53540,157860,3640,"December"
"Toyama",2020-07-01,14.3987228622728,48500,116820,5530,"July"
"Toyama",2020-08-01,2.99570744114401,59220,147050,7040,"August"
"Toyama",2020-09-01,0.483178619539357,55290,165550,4740,"September"
"Toyama",2020-10-01,3.47888606068337,54540,194760,1920,"October"
"Toyama",2020-11-01,9.85684383860288,63650,188400,9710,"November"
"Toyama",2020-12-01,30.4402530309795,58830,131380,200,"December"
"Wakayama",2020-07-01,8.67129713933907,48950,216910,6690,"July"
"Wakayama",2020-08-01,1.30069457090086,70360,353080,11360,"August"
"Wakayama",2020-09-01,3.68530128421911,73700,243360,8930,"September"
"Wakayama",2020-10-01,19.2936361350294,54440,312440,11190,"October"
"Wakayama",2020-11-01,17.7761591356451,54260,381510,10260,"November"
"Wakayama",2020-12-01,48.4508727660571,49620,269050,15660,"December"
"Yamagata",2020-07-01,0.187261183471953,87050,170400,13660,"July"
"Yamagata",2020-08-01,0,109910,203760,14850,"August"
"Yamagata",2020-09-01,0.749044733887814,99450,219660,15300,"September"
"Yamagata",2020-10-01,4.58789899506286,124800,277140,19650,"October"
"Yamagata",2020-11-01,23.5949091174661,127200,273970,15810,"November"
"Yamagata",2020-12-01,10.8611486413733,91720,188920,13810,"December"
"Yamaguchi",2020-07-01,8.56892282679078,57580,157730,12490,"July"
"Yamaguchi",2020-08-01,2.45890828942692,80290,182360,10720,"August"
"Yamaguchi",2020-09-01,0.894148468882516,97930,237140,15980,"September"
"Yamaguchi",2020-10-01,12.9651527987965,97720,242960,48050,"October"
"Yamaguchi",2020-11-01,14.9769868537821,96380,241720,14180,"November"
"Yamaguchi",2020-12-01,48.2840173196558,95720,181250,13910,"December"
"Yamanashi",2020-07-01,9.38301723265191,42300,212880,23770,"July"
"Yamanashi",2020-08-01,2.09883280204056,56410,394070,41970,"August"
"Yamanashi",2020-09-01,3.20997957959144,49420,375620,13680,"September"
"Yamanashi",2020-10-01,16.0498978979572,58550,400940,24090,"October"
"Yamanashi",2020-11-01,27.6552086857109,57310,457410,26990,"November"
"Yamanashi",2020-12-01,41.3593522755051,49510,302900,17450,"December"
